id,name,type,source
1,Alan Turing,Person,manual
2,Alonzo Church,Person,manual
3,Artificial Intelligence,Theory,manual
4,Bletchley,Place,auto
5,Bletchley Park,Organization,manual
6,Cambridge,Place,manual
7,Claude Shannon,Person,manual
8,Computability Theory,Theory,manual
9,John von Neumann,Person,manual
10,London,Place,manual
11,Maida Vale,Place,manual
12,Manchester,Place,manual
13,Marvin Minsky,Person,manual
14,Princeton,Place,auto
15,Princeton University,Organization,manual
16,Turing Award,Award,manual
17,Turing Machine,Theory,manual
18,Turing Test,Theory,manual
19,University of Cambridge,Organization,manual
20,University of Manchester,Organization,manual
